height,weight,label
190,76,normal
175,97,fat
159,77,fat
142,72,fat
150,42,normal
174,100,fat
149,70,fat
190,84,normal
141,58,fat
182,48,thin
154,37,thin
146,99,fat
161,49,normal
189,96,fat
166,43,thin
159,66,fat
181,54,thin
141,70,fat
152,93,fat
142,54,fat
182,61,thin
179,97,fat
173,40,thin
174,60,normal
153,95,fat
160,75,fat
144,83,fat
172,90,fat
164,95,fat
155,36,thin
185,68,normal
186,74,normal
180,35,thin
188,90,fat
143,96,fat
142,73,fat
144,85,fat
154,50,normal
183,75,normal
180,39,thin
171,100,fat
157,35,thin
148,82,fat
176,96,fat
147,39,thin
190,58,thin
187,65,normal
173,67,normal
178,51,thin
166,58,normal
183,37,thin
147,76,fat
185,68,normal
173,59,normal
161,64,normal
166,49,thin
157,46,normal
183,49,thin
183,46,thin
171,86,fat
167,68,normal
162,61,normal
188,85,normal
152,72,fat
163,62,normal
174,89,fat
167,53,normal
172,41,thin
164,59,normal
170,60,normal
188,42,thin
182,65,normal
182,93,fat
182,71,normal
141,79,fat
188,91,fat
155,71,fat
149,49,normal
180,48,thin
158,65,fat
147,53,normal
167,61,normal
149,55,normal
183,84,fat
172,67,normal
176,64,normal
185,92,fat
142,37,thin
155,86,fat
144,74,fat
155,85,fat
144,55,fat
150,45,normal
150,53,normal
170,50,thin
185,79,normal
176,90,fat
189,52,thin
146,80,fat
177,56,thin
163,46,thin
162,95,fat
166,93,fat
172,88,fat
141,66,fat
163,44,thin
164,64,normal
174,95,fat
174,85,fat
186,85,normal
159,38,thin
148,75,fat
187,69,normal
148,82,fat
187,81,normal
156,73,fat
174,46,thin
154,36,thin
140,76,fat
145,99,fat
176,54,thin
140,82,fat
143,77,fat
164,35,thin
169,93,fat
181,49,thin
176,73,normal
146,94,fat
155,63,fat
164,84,fat
190,48,thin
147,53,normal
157,44,thin
190,69,normal
142,39,normal
180,58,thin
174,37,thin
185,51,thin
149,56,fat
154,48,normal
159,45,thin
180,85,fat
167,77,fat
177,69,normal
146,63,fat
159,61,normal
162,95,fat
168,50,thin
159,83,fat
157,100,fat
156,52,normal
152,90,fat
182,76,normal
179,71,normal
151,59,fat
145,89,fat
140,51,fat
174,56,thin
179,62,normal
172,77,fat
148,83,fat
167,94,fat
188,52,thin
141,70,fat
148,88,fat
149,52,normal
181,65,normal
154,59,normal
186,62,thin
178,40,thin
150,49,normal
168,59,normal
177,92,fat
153,77,fat
178,61,normal
142,74,fat
145,55,fat
159,59,normal
152,61,fat
155,37,thin
161,71,fat
170,58,normal
157,43,thin
165,69,fat
175,79,fat
183,44,thin
158,93,fat
170,90,fat
175,42,thin
163,86,fat
174,64,normal
168,52,thin
177,65,normal
156,36,thin
155,88,fat
180,66,normal
163,53,normal
140,41,normal
155,96,fat
156,62,fat
167,47,thin
173,40,thin
171,36,thin
149,66,fat
186,85,normal
178,39,thin
145,70,fat
187,36,thin
179,37,thin
143,56,fat
186,63,thin
161,48,normal
184,51,thin
140,67,fat
159,47,normal
157,83,fat
152,93,fat
188,98,fat
160,54,normal
140,55,fat
171,48,thin
161,54,normal
156,64,fat
140,98,fat
186,42,thin
178,78,normal
181,48,thin
156,70,fat
183,42,thin
145,78,fat
184,40,thin
156,49,normal
146,73,fat
165,89,fat
146,68,fat
165,63,normal
149,37,thin
190,90,normal
186,72,normal
185,81,normal
149,75,fat
154,58,normal
188,56,thin
153,56,normal
184,84,normal
175,79,fat
157,58,normal
172,63,normal
189,94,fat
159,64,fat
190,81,normal
163,41,thin
181,53,thin
157,39,thin
142,59,fat
145,57,fat
141,64,fat
159,74,fat
167,69,normal
160,96,fat
175,74,normal
162,86,fat
160,92,fat
178,90,fat
143,68,fat
149,54,normal
171,78,fat
142,46,normal
189,81,normal
142,46,normal
159,35,thin
180,68,normal
162,46,thin
151,69,fat
177,100,fat
188,75,normal
144,91,fat
181,52,thin
155,37,thin
171,71,normal
158,93,fat
175,73,normal
180,39,thin
171,77,fat
157,46,normal
141,85,fat
147,41,normal
150,91,fat
170,54,normal
158,36,thin
173,76,fat
162,67,fat
155,66,fat
145,97,fat
188,57,thin
179,79,normal
176,52,thin
148,92,fat
141,95,fat
162,57,normal
169,70,normal
177,35,thin
190,86,normal
146,74,fat
185,62,thin
147,90,fat
177,71,normal
183,80,normal
166,48,thin
171,48,thin
162,82,fat
140,51,fat
169,64,normal
149,39,thin
163,38,thin
182,73,normal
190,66,thin
149,45,normal
182,98,fat
171,82,fat
153,41,thin
146,79,fat
151,75,fat
160,43,thin
160,75,fat
164,90,fat
169,100,fat
152,35,thin
152,35,thin
159,37,thin
148,74,fat
189,53,thin
187,56,thin
150,75,fat
174,90,fat
161,54,normal
151,78,fat
158,69,fat
141,71,fat
147,81,fat
182,57,thin
160,37,thin
140,51,fat
166,67,normal
173,98,fat
179,42,thin
176,68,normal
165,100,fat
159,67,fat
175,44,thin
148,46,normal
180,61,normal
165,81,fat
183,38,thin
184,95,fat
187,45,thin
149,88,fat
154,44,normal
156,51,normal
167,52,normal
175,58,normal
162,99,fat
155,85,fat
163,87,fat
142,61,fat
170,50,thin
189,69,normal
143,49,normal
156,53,normal
152,80,fat
163,94,fat
185,94,fat
190,52,thin
154,84,fat
179,69,normal
152,55,normal
171,80,fat
150,98,fat
161,69,fat
184,73,normal
181,85,fat
156,64,fat
141,90,fat
147,93,fat
185,41,thin
186,67,normal
150,45,normal
162,39,thin
190,36,thin
159,86,fat
179,38,thin
174,42,thin
188,36,thin
188,54,thin
148,80,fat
148,71,fat
180,41,thin
162,57,normal
176,85,fat
184,75,normal
159,85,fat
180,52,thin
190,39,thin
169,79,fat
163,93,fat
184,73,normal
167,58,normal
183,91,fat
183,48,thin
163,39,thin
165,55,normal
173,71,normal
181,76,normal
152,85,fat
163,75,fat
140,66,fat
147,100,fat
175,42,thin
172,45,thin
170,61,normal
177,96,fat
163,67,fat
190,86,normal
153,73,fat
154,56,normal
151,79,fat
184,44,thin
142,46,normal
148,44,normal
163,38,thin
168,72,fat
172,56,normal
180,66,normal
168,60,normal
156,72,fat
174,75,normal
158,54,normal
158,98,fat
165,54,normal
167,37,thin
156,89,fat
189,89,normal
175,64,normal
176,57,thin
169,70,normal
180,67,normal
153,38,thin
142,49,normal
152,35,thin
143,57,fat
190,89,normal
158,100,fat
169,36,thin
149,83,fat
166,80,fat
141,51,fat
174,51,thin
142,63,fat
143,90,fat
164,80,fat
162,76,fat
164,83,fat
169,58,normal
180,48,thin
153,73,fat
166,60,normal
153,81,fat
190,81,normal
158,48,normal
162,83,fat
179,36,thin
155,72,fat
185,67,normal
156,63,fat
188,93,fat
156,41,thin
164,43,thin
170,75,fat
182,42,thin
142,65,fat
186,53,thin
140,84,fat
185,41,thin
169,63,normal
175,84,fat
176,88,fat
190,40,thin
157,60,normal
154,99,fat
156,37,thin
161,46,thin
148,49,normal
177,52,thin
174,97,fat
141,71,fat
188,77,normal
176,60,normal
147,80,fat
178,38,thin
142,50,normal
181,65,normal
148,60,fat
147,52,normal
156,57,normal
156,69,fat
180,56,thin
172,66,normal
155,68,fat
181,60,thin
180,87,fat
162,76,fat
148,49,normal
169,87,fat
145,65,fat
190,97,fat
154,58,normal
160,73,fat
144,66,fat
176,64,normal
169,80,fat
171,64,normal
161,41,thin
182,60,thin
182,81,normal
172,56,normal
167,72,fat
175,66,normal
177,64,normal
172,79,fat
154,96,fat
185,71,normal
173,72,normal
173,74,normal
162,42,thin
174,36,thin
146,47,normal
164,95,fat
185,52,thin
189,94,fat
160,44,thin
150,43,normal
156,71,fat
169,61,normal
146,70,fat
146,97,fat
172,88,fat
164,96,fat
170,51,thin
182,100,fat
157,72,fat
152,72,fat
183,39,thin
170,83,fat
154,69,fat
185,96,fat
157,62,fat
159,67,fat
143,77,fat
